full_name,days,stars_from,stars_to,star_delta,stars_per_day,recent_per_day,accel_x,open_issues_from,open_issues_to,issue_delta,issue_ratio,resp_hours,signal
debpalash/VoiceStudio,24,12734,35309,22575,808.0,371.0,0.46,30,18,-12,0.0005,4.9,爆发且健康
every-app/open-seo,26,15526,21113,5587,226.5,243.0,1.07,119,197,78,0.0093,61.1,爆发且健康
lidge-jun/opencodex,24,12742,16212,3470,152.0,109.5,0.72,103,132,29,0.0081,4.2,爆发且健康
ifixai-ai/iFixAi,24,12152,15721,3569,145.5,13.0,0.09,2,1,-1,0.0001,20.2,爆发且健康
t8y2/dbx,26,17567,20718,3151,103.0,68.0,0.66,1148,1553,405,0.075,1.9,爆发但issue积压
NVIDIA/SkillSpector,26,15396,18314,2918,97.0,62.0,0.64,85,131,46,0.0072,74.2,爆发且健康
semantica-agi/semantica,24,11518,13455,1937,81.75,19.5,0.24,117,96,-21,0.0071,2.8,爆发且健康
img2threejs/img2threejs,26,14667,16771,2104,77.75,51.5,0.66,74,89,15,0.0053,113.1,爆发且健康
Arindam200/awesome-ai-apps,25,13542,15911,2369,76.0,12.0,0.16,68,76,8,0.0048,143.7,爆发且健康
earthtojake/text-to-cad,25,14072,16352,2280,75.0,32.0,0.43,13,12,-1,0.0007,14.7,爆发且健康
AgriciDaniel/claude-seo,26,15908,17700,1792,70.75,68.0,0.96,46,11,-35,0.0006,307.8,爆发且健康
jlcodes99/cockpit-tools,26,16819,18376,1557,58.25,30.5,0.52,534,798,264,0.0434,4.6,爆发且健康
1jehuang/jcode,26,18869,20134,1265,50.75,31.5,0.62,386,592,206,0.0294,9.1,爆发且健康
nidhinjs/prompt-master,24,12140,13637,1497,48.5,47.5,0.98,31,34,3,0.0025,22.8,平稳增长
wanshuiyin/Auto-claude-code-research-in-sleep,26,15504,16657,1153,43.5,37.0,0.85,63,77,14,0.0046,28.5,平稳增长
walkinglabs/learn-harness-engineering,26,14573,16064,1491,42.0,88.5,2.11,10,18,8,0.0011,121.2,平稳增长
HBAI-Ltd/Toonflow-app,26,14952,16039,1087,41.5,36.5,0.88,3,1,-2,0.0001,11.1,平稳增长
superset-sh/superset,25,13563,14607,1044,41.0,49.5,1.21,584,774,190,0.053,7.3,平稳增长
liyupi/ai-guide,26,19339,20481,1142,40.75,36.0,0.88,2,4,2,0.0002,54.6,平稳增长
yc-software/qm,26,14388,15253,865,32.0,14.0,0.44,362,581,219,0.0381,61.8,平稳增长
pipecat-ai/pipecat,26,15014,15874,860,31.25,27.0,0.86,258,352,94,0.0222,4.7,平稳增长
CoplayDev/unity-mcp,24,13792,14473,681,27.0,26.5,0.98,88,96,8,0.0066,153.3,平稳增长
